Source,Target
191881,199148
193107,2063
193107,4487
193107,9138
193107,15103
193107,22689
193107,45052
193107,92042
193107,92043
193107,193106
193107,222497
195904,37297
195904,51727
195904,63134
195904,79295
195904,92693
195904,163737
195904,170864
195904,246942
195904,246943
195904,246944
211463,19163
211463,108781
211463,140051
211463,186012
211463,186015
211463,211464
211463,267681
211463,278125
212550,99521
212550,212548
212550,212554
212550,212556
212550,212557
212550,215918
212550,226356
212550,251949
212550,294114
213405,29553
213405,148216
213405,148217
213405,179838
213405,186759
213405,189882
213405,224487
213405,302118
213405,302121
213405,335023
216201,44535
216201,93342
216201,107039
216201,107326
216201,107327
216201,111366
216201,111367
216201,124156
216201,145521
216201,145525
237472,529
237472,105356
237472,190914
237472,234192
237472,234193
237472,234194
237472,234195
237472,234197
237472,234199
250879,2611
250879,9856
250879,9863
250879,15038
250879,20890
250879,38002
250879,75298
250879,250880
258380,20789
258380,20791
258380,20792
258380,26199
258380,26202
258380,26203
258380,26205
258380,258381
258380,258382
258380,258384
263418,94874
263418,197351
263418,255733
263418,263420
272135,19548
272135,58903
272135,72456
272135,107008
272135,141099
272135,160148
272135,168146
272135,263054
272135,347127
272135,347725
294162,51760
294162,70523
294162,93110
294162,153179
294162,183876
297475,240876
297475,297473
297475,297474
297475,297476
297480,82097
297480,85320
297480,206211
297480,216119
297480,247854
297480,259099
297480,268618
297480,315559
297480,315561
297480,349738
311376,106512
311376,109688
311376,109689
311376,109691
311376,237460
311376,284563
311376,284564
332981,34
332981,55
332981,84
332981,61646
332981,84591
332981,231733
332981,231734
332981,293805
332981,293806
332981,293807
347868,215396
347868,274057
347868,335497
347868,335498
347868,335500
347868,360436
356776,347433
356776,347434
356776,356774
356776,356775
356776,356777
356776,356778
356776,356779
356776,356780
356776,356781
356776,360880
359088,346412
359088,347288
359088,359085
359088,359210
359088,359212
359088,364834
359088,364835
359088,364836
359088,386040
359088,389375
361528,24034
361528,43909
361528,47178
361528,64825
361528,64826
361528,195303
361528,196452
361528,196453
361528,321578
361528,361529
361955,310382
367338,355499
367338,355501
367338,360211
367338,366905
367338,367336
367338,367337
367338,367341
367338,367441
367338,370260
367338,382472
372555,824
372555,325336
372555,334912
372555,369814
372555,372552
372555,372553
372555,385389
372555,385391
372555,390742
390076,6588
390076,81477
390076,101577
390076,106220
390076,116099
390076,116103
390076,254741
390076,299266
390076,328351
390076,384281
391401,372986
391401,391398
391401,391399
391401,391402
391401,396986
391401,399451
